,RNAi Phenotype Observed,Allele Phenotype Observed
WBGene00003372,"antibody staining variant, cleavage furrow initiation defective early emb, cleavage furrow termination defective early emb, cytokinesis failure, cytokinesis variant emb, cytoplasmic streaming defective, embryonic lethal, embryonic polarity variant, meiosis variant, polar body defective early emb, polar body extrusion defective early emb, pronuclei meet centrally early emb, pseudocleavage absent early emb, spindle position orientation defective early emb, spindle position variant, transgene subcellular localization variant","body elongation defective, cell polarity variant, larval lethal, seam cell morphology variant, ventral closure defective"
WBGene00003373,"embryonic lethal, spontaneous mutation rate increased, sterile",N.A.
WBGene00003374,extended life span,"cadmium hypersensitive, caffeine resistant, copper hypersensitive, kinase activity reduced, metal response variant, pathogen susceptibility increased, protein phosphorylation reduced"
WBGene00003375,"mitochondria alignment variant, protein expression reduced",N.A.
WBGene00003376,transgene expression reduced,"cell fate specification variant, cell fate transformation, nonstriated muscle development variant"
WBGene00003377,M lineage variant,"chemosensory neuron development variant, ectopic expression transgene, excretory duct cell development variant, rod like larval lethal, temperature influenced life span variant"
WBGene00003378,"embryonic lethal, larval arrest, male tail morphology variant, organism development variant, pattern of transgene expression variant, receptor mediated endocytosis defective, reduced brood size","HSN migration variant, shortened life span"
WBGene00003379,N.A.,N.A.
WBGene00003380,"axon guidance variant, neuron morphology variant",N.A.
WBGene00003381,N.A.,N.A.
WBGene00003382,N.A.,N.A.
WBGene00003384,N.A.,"chemical hypersensitive, molybdenum cofactor depletion hypersensitive"
WBGene00003385,N.A.,molybdenum cofactor depletion hypersensitive
WBGene00003386,N.A.,"amplitude of sinusoidal movement increased, aqueous adaptation defective, backing decreased, backward point velocity increased, body posture amplitude increased, body posture wavelength increased, coiling frequency increased, egg laying serotonin hypersensitive, fat, fat content increased, foraging hyperactive, forward locomotion increased, forward point velocity increased, frequency of body bend variant, head bend angle variant, locomotion rate serotonin resistant, long, nose movement variant, path curvature decreased, pausing decreased, roaming increased, serotonin induced fat reduction variant, slowing response on food variant, tail bend angle increased, turning frequency variant"
WBGene00003387,"life span phenotype, shortened life span","amplitude of sinusoidal movement decreased, antibody staining variant, aqueous adaptation defective, axon trajectory variant, backing decreased, backward point velocity decreased, body posture amplitude decreased, body posture wavelength variant, coiling frequency decreased, drug response variant, fat, fat content reduced, forward locomotion decreased, forward point velocity variant, frequency body bend reduced, head bend angle variant, methiothepin resistant, mianserin resistant, nose movement variant, path curvature decreased, pausing increased, pharyngeal pumping increased, serotonin hypersensitive, serotonin reuptake inhibitor resistant, tail bend angle variant, turning frequency variant"
WBGene00003388,"oocyte meiotic maturation variant, reduced brood size",N.A.
WBGene00003389,"cell proliferation increased, dumpy, embryonic arrest, embryonic lethal, excess intestinal cells, germ cell development variant, larval lethal, masculinization of germline, oocytes disorganized, organism morphology variant, pattern of transgene expression variant, receptor mediated endocytosis defective, tumorous germline","hermaphrodite self sterile, masculinization of germline, maternal effect lethal emb, sperm excess"
WBGene00003390,"cell proliferation increased, embryonic lethal, excess intestinal cells, germ cell development variant, oocyte morphology variant, oocytes disorganized, sterile","hermaphrodite self sterile, masculinization of germline, maternal effect lethal emb, protein interaction variant, slow growth, sperm excess, spermatogenesis to oogenesis switch defective, sterile"
WBGene00003391,"dumpy, embryonic lethal, masculinization of germline, organism development variant, slow embryonic development","hermaphrodite self sterile, masculinization of germline, maternal effect lethal emb, oocyte morphology variant, sperm excess, spermatogenesis to oogenesis switch defective, sterile, tumorous germline"
WBGene00003392,"cell proliferation increased, dead eggs laid, embryonic arrest, embryonic lethal, excess intestinal cells, germ cell development variant, gonad development variant, growth variant, large cytoplasmic granules early emb, larval arrest, larval lethal, lethal, male gonad development variant, male somatic gonad development variant, masculinization of germline, maternal sterile, molt defect, no induction of antimicrobial peptide expression after infection, oocyte morphology variant, oocytes disorganized, organism development variant, pattern of transgene expression variant, protruding vulva, reduced brood size, sick, sterile, sterile progeny, tumorous germline","germ cell morphology variant, hermaphrodite self sterile, masculinization of germline, maternal effect lethal emb, somatic gonad morphology variant, sperm excess, spermatogenesis to oogenesis switch defective, sterile, vulvaless"
WBGene00003393,"apoptosis fails to occur, apoptosis reduced, cell proliferation increased, diplotene absent during oogenesis, early embryonic lethal, embryonic arrest, embryonic lethal, excess intestinal cells, exploded through vulva, germ cell compartment expansion absent, germ cell compartment expansion variant, germ cell development variant, gonad morphology variant, gonad small, gonad vesiculated, larval arrest, lethal, locomotion variant, masculinization of germline, maternal sterile, molt defect, no induction of antimicrobial peptide expression after infection, no oocytes, nuclear appearance variant, nuclei small, oocyte morphology variant, oocyte number decreased, oocytes disorganized, oocytes small, organism development variant, pachytene progression during oogenesis variant, pachytene region organization variant, protein aggregation variant, RAB-11 recycling endosome morphology variant, rachis absent, rachis morphology variant, rachis narrow, sister chromatid segregation defective early emb, sterile, sterile progeny, transgene subcellular localization variant, tumorous germline","germ cell morphology variant, hermaphrodite self sterile, masculinization of germline, maternal effect lethal emb, mechanosensation variant, sperm excess, sperm recruitment variant, spermatogenesis to oogenesis switch defective, sterile"
WBGene00003394,"body muscle dystrophy, organism development variant, transgene expression reduced","antibody staining increased, apoptosis fails to occur, cell division polarity variant, cell division precocious, early elongation arrest, egg laying defective, embryonic arrest, embryonic lethal, endoderm absent, excess pharyngeal cells, exploded through vulva, locomotion variant, maternal effect lethal emb, no Intestine, pattern antibody staining variant, protruding vulva, somatic gonad precursor symmetrical sisters, spindle orientation defective early emb"
WBGene00003395,"anterior enclosure defective, bivulva, body axis development variant, cell division precocious, cell fate transformation, comma arrest emb, dead eggs laid, dorsal intercalation defective, dumpy, E lineage variant, embryonic cell fate specification variant, embryonic cell organization biogenesis variant, embryonic lethal, endoderm absent, extended life span, gastrulation variant, hypodermis development variant, intestinal development variant, larval lethal, lima bean arrest, neuron development variant, no gut granules, no Intestine, no pharynx, nuclear anchoring variant, nuclear appearance variant, one point five fold arrest emb, organism development variant, organism morphology variant, P0 spindle rotation failure early emb, pattern of transgene expression variant, population fitness phenotype, protein subcellular localization variant, RNAi resistant, seam cell morphology variant, sister cell division timing asynchrony reduced, slow growth, spindle orientation defective early emb, spindle orientation variant, spindle rotation defective early emb, sterile, transgene expression increased, transgene expression reduced, transgene expression undetectable, transgene expression variant, ventral closure defective, vulva development variant, vulval cell induction variant","astral microtubule asymmetry defective, asymmetric cell division variant, bivulva, body elongation defective, cell division precocious, cell fate transformation, E lineage variant, embryonic lethal, endoderm absent, excess pharyngeal cells, lethal, maternal effect lethal emb, morphology phenotype, muscle excess, no Intestine, pattern antibody staining variant, protein expression increased, protein subcellular localization variant, spindle orientation defective early emb, spindle orientation variant, sterile, transgene subcellular localization variant"
